#,track_id,Artist.Name,album_name,Track.Name,Popularity,Length.,explicit,Danceability,Energy,key,Loudness..dB..,mode,Speechiness.,Acousticness..,Liveness,Valence.,tempo,time_signature,Genre,0
95494,1MfY6tPR6smWFOLWIxF6OP,Luisito Carrion;ZAPEROKO La Resistencia Salsera del Callao,Luisito Carrion Feat Zaperoko la Resistencia Salsera del Callao,El Agua (En Vivo),30,704092,FALSE,0.499,0.806,5,-6.787,0,0.0518,0.371,0.263,0.915,192.507,4,salsa,0.284099786
36501,0DxTEuqiERU7W4Cfy6IeLa,Camille Saint-Saëns;Philippe Entremont;Gaby Casadesus;Yo-Yo Ma,Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,"Carnival of the Animals, R. 125: The Swan",60,184706,FALSE,0.211,0.00756,7,-33.123,1,0.0455,0.994,0.0734,0.0391,118.247,4,french,0.191993104
76553,0qeGdBTMsG8arBbybvH17q,Bernward Koch,Gentle Spirit,An Evening Walk,51,239053,FALSE,0.269,0.127,0,-16.917,0,0.0357,0.94,0.114,0.0981,125.241,3,opera,0.337292763
68701,4gzsuuZypVbxs0Af1LSZyB,Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),87,207301,FALSE,0.639,0.703,4,-6.33,0,0.0794,0.0889,0.0865,0.138,169.888,4,latino,0.881018345
68845,6hufSKKiNAOUdS5JVym6hu,31 Minutos,31 Canciones de Amor y una Canción de Guaripolo,Nunca Me He Sacado un 7 - Michael Astudillo Jr,41,120600,FALSE,0.77,0.686,2,-6.469,1,0.103,0.63,0.0955,0.938,96.967,4,latino,0.94965551
30570,4BuKcv3m61D3feQaJVW4oF,Ritviz,Mimmi,Pukaar,47,136751,FALSE,0.534,0.476,7,-8.268,1,0.0325,0.0337,0.629,0.593,106.891,4,edm,0.316734861
91386,2pmkQDRNQhwqjy5zEiffjU,Bryan Adams,Karneval Klassiker,Summer Of '69,0,217493,FALSE,0.5,0.908,2,-4.303,1,0.0418,0.0166,0.128,0.744,138.834,4,rock,0.607445865
27382,4MmwDwI3O7nUDWIrXbfaOj,Flowidus;Dread MC,Wrong Boy Chat,Wrong Boy Chat,19,229625,FALSE,0.61,0.938,10,-3.475,0,0.084,0.00143,0.398,0.452,87.029,4,drum-and-bass,0.138816502
89618,13kyMXTpiIQlwLBMEyOBkI,KEVVO;J Balvin,Perreo Tenebroso Vol. 4,Billetes Azules,0,189506,TRUE,0.856,0.721,7,-4.928,1,0.108,0.132,0.182,0.642,94.991,4,reggaeton,0.46137836
23357,33vdDZDNBKsllkbZXFYUD4,Patrick Lite;Vitaly Gray,I Love You,I Love You,60,158086,FALSE,0.774,0.68,10,-6.587,0,0.0277,0.0871,0.11,0.464,115.006,4,deep-house,0.374688591
112464,6TaQbV1VqH1QUsgq6apGB3,Gülşen,Erkeksen,Gözü Karalım,41,325666,FALSE,0.489,0.57,10,-9.705,0,0.0806,0.336,0.0589,0.573,141.894,4,turkish,0.052850914
10118,3cNitCIgZO1fVyZi0DXzyW,Timo Maas,Loud (Eastwest Release),O.C.B,18,318826,FALSE,0.73,0.861,6,-5.513,1,0.0398,0.105,0.0787,0.74,129.989,4,breakbeat,0.157157763
53278,0U5Zq7fyxNUdTG731F4Vzw,Zedd;Hayley Williams,Almorzando solo,Stay The Night,0,217346,FALSE,0.595,0.738,8,-3.109,1,0.041,0.107,0.0947,0.461,127.954,4,house,0.726717102
87654,4QYGKJExNwTvNhf64Cp2XI,Terno Rei,Gêmeos,Olha Só,42,166000,FALSE,0.42,0.567,1,-7.933,1,0.0351,0.11,0.123,0.156,112.37,4,r-n-b,0.360108534
84894,0UgAZtkSkSf56vCjsCcnEA,Cem Karaca,Merhaba Gençler,Bedava Yaşıyoruz,27,297706,FALSE,0.442,0.763,4,-7.561,1,0.0519,0.796,0.377,0.6,146.218,5,psych-rock,0.23542628
47806,4yhzZ9ESp4UwnJqImyMR3A,Ghost,[MESSAGE FROM THE CLERGY],Mary On A Cross - slowed + reverb,61,274783,FALSE,0.468,0.838,6,-5.756,0,0.0433,9.42E-05,0.0896,0.259,115.812,4,hard-rock,0.968376057
14380,1w8xwg6DV85F5pfSwuVGCX,The Kiboomers,Dia De Muertos,Dia De Muertos - Instrumental,4,75375,FALSE,0.826,0.733,7,-8.427,1,0.04,0.235,0.107,0.93,100.023,4,children,0.912741886
62269,5RtsmtLsEnwa96TEf56tJQ,Masayuki Suzuki;すぅ,GIRI GIRI,GIRI GIRI,61,258765,FALSE,0.78,0.889,11,-4.053,1,0.0351,0.223,0.0484,0.961,127.993,4,j-pop,0.062193202
104014,7pXuB2ZfTEmltCxaVCxhWf,Lola Indigo;Danna Paola;Denise Rosenthal,Clásicos de ahora: Perreo,Santería,0,184000,FALSE,0.74,0.892,11,-2.756,0,0.0664,0.025,0.188,0.826,105.003,4,spanish,0.507839882
24103,1YNgwOjLp0zJWf4qJwQe4l,K-Hand,I Have a Question,Sound 6,31,361402,FALSE,0.789,0.993,9,-8.76,1,0.0557,0.000149,0.0452,0.166,133.511,4,detroit-techno,0.973936372
97898,6lXEkb1afJDm7eQ1W8pXHI,Matogrosso & Mathias,Gigantes,Na hora do adeus,44,238640,FALSE,0.489,0.684,9,-7.933,0,0.0287,0.243,0.261,0.553,92.088,4,sertanejo,0.02296912
105041,4FTWqP9PgQ24kmVctCWREf,Dusty Decks,Solid Centre,Dust till Dawn,46,134000,FALSE,0.747,0.571,10,-6.985,0,0.119,0.0264,0.102,0.71,89.96,4,study,0.787646835
98722,68CissO0KwhoWBbeAz9B0c,Andy Karl;Groundhog Day The Musical Company;Tim Minchin,Groundhog Day The Musical (Original Broadway Cast Recording),Day Two,22,266426,FALSE,0.495,0.526,2,-8.201,1,0.101,0.762,0.228,0.422,131.912,4,show-tunes,0.506917926
53076,4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan;Dynoro,Rockstar,Rockstar,70,212280,FALSE,0.771,0.826,11,-3.978,1,0.0604,0.142,0.145,0.185,100.012,4,house,0.545418262
104654,1lOg0JML9h0nhHZsyPAirQ,Cecilia Krull,"Grândola Vila Morena (Music from The Netflix Series ""La Casa de Papel"")",Grândola Vila Morena (War Version),35,207692,FALSE,0.508,0.436,10,-8.06,1,0.0276,0.58,0.109,0.652,77.955,4,spanish,0.571861853
102040,1TkyDEdjiUuYhoMkxdZCiO,Prateek Kuhad,Tere Hi Hum,Tere Hi Hum,58,177026,FALSE,0.738,0.305,0,-9.667,1,0.0286,0.851,0.15,0.489,116.07,1,songwriter,0.180038625
51790,3ywjIbXWgG5Vjom6zhA2aP,Anirudh Ravichander;Mohit Chauhan;Shreya Ghoshal,Ethir Neechal (Original Motion Picture Soundtrack),Velicha Poove,57,312280,FALSE,0.526,0.701,5,-6.574,0,0.0552,0.444,0.0883,0.683,79.744,4,hip-hop,0.721952745
52167,6mOn3oIi7pSIRkccafslIr,Hank Williams,"The Garden Spot Programs, 1950",Mind Your Own Business,17,152291,FALSE,0.589,0.328,4,-8.037,1,0.146,0.952,0.772,0.876,145.382,4,honky-tonk,0.110444753
26570,7HsCmonROWdAi1ZhnAMX5C,Cast - Frozen,Frozen (Original Motion Picture Soundtrack),"Frozen Heart - From ""Frozen""/Soundtrack Version",48,105293,FALSE,0.538,0.481,2,-8.716,0,0.0997,0.545,0.086,0.191,95.914,4,disney,0.222619498
11601,2haJphBUZLD5MpFB8KkCsF,Brooke Bentham,The Room Swayed,I Need Your Body,50,250032,FALSE,0.465,0.451,9,-7.254,0,0.0272,0.103,0.0891,0.0905,79.886,4,british,0.79118223
28772,2ohKWVkLGG9R5FXsg9v3cf,Moore Kismet;Courtney Paige Nelson,UNIVERSE,See You Go,46,245828,FALSE,0.67,0.772,0,-5.219,0,0.0926,0.136,0.31,0.206,123.075,4,dub,0.251724335
49559,10nyfUGqieRO4iwPRIePcF,Rewildz;Dirty Workz;Sydney Talor,Fighting,Fighting,21,190500,FALSE,0.484,0.891,7,-4.262,1,0.0525,0.0153,0.146,0.233,149.987,4,hardstyle,0.603341929
41570,4ngkoOK7aDLvbXaGKWU71Y,Kamelot,Ghost Opera: The Second Coming,Blücher,25,243506,FALSE,0.47,0.976,1,-3.759,1,0.129,0.0459,0.11,0.248,104.972,3,goth,0.779357163
55060,3beYHVCFKzbdNjJqjKeYpM,Pritam;Shafqat Amanat Ali,Murder 3 (Original Motion Picture Soundtrack),Teri Jhuki Nazar,64,279186,FALSE,0.386,0.815,11,-3.395,1,0.0417,0.707,0.159,0.349,124.293,4,indian,0.02883781
10575,1OCtbDr6ArW1mM9zQbbHFA,Drumattic Twins,Hammer & Tongs,Dont Be So Drumattic,12,278133,FALSE,0.748,0.848,4,-7.983,0,0.115,0.00148,0.296,0.371,132.072,4,breakbeat,0.328492415
55033,3X0CBCVKnvNajOvuSN0ngN,Pritam;Sanjith Hegde;Sid Sriram,Brahmastra (Kannada) [Original Motion Picture Soundtrack],Kesariya Rangu,32,278377,FALSE,0.555,0.596,0,-7.278,1,0.0298,0.665,0.108,0.352,94.2,4,indian,0.098812049
59076,1vL9eTHNejuOytE8TB3pMs,Alphaxone;XERXES THE DARK,Aftermath,Consternation,7,467454,FALSE,0.146,0.196,0,-24.337,1,0.0407,0.332,0.111,0.0398,82.978,4,iranian,0.126056615
103273,6fhmLH3luSMJNEXiHIPrbd,The Temptations,JULPYNTA,Silent Night,0,144480,FALSE,0.277,0.344,0,-11.713,1,0.0264,0.215,0.185,0.241,89.643,3,soul,0.961750521
95622,4tkLbJSCOYBXHQWmczlr0g,Guaco,Guaco Historico 2,De Vuelta a Tu Corazón (En Vivo),31,245783,FALSE,0.674,0.597,4,-10.695,0,0.0599,0.271,0.124,0.796,180.081,4,salsa,0.664408985
30246,5d4jOVHBxlbRZJlBfarH41,Alesso;Matthew Koma,Larga Vida al Electro,Years,1,196346,FALSE,0.362,0.858,2,-3.92,1,0.0743,0.00211,0.25,0.282,127.891,4,edm,0.305577691
23633,1lLeKTdKpvxrICyW4bD95B,HUGEL;Damien N-Drix,Tengo ganas de ti,Tengo ganas de ti,47,218880,FALSE,0.712,0.864,1,-6.875,1,0.0456,0.00182,0.0385,0.0856,124.987,4,deep-house,0.176912376
39655,1vPEPhmGDnp8RR6GCBozaa,Ramin Djawadi,Game Of Thrones: Season 3 (Music from the HBO Series),A Lannister Always Pays His Debts,58,170560,FALSE,0.288,0.288,2,-16.518,0,0.0402,0.552,0.171,0.0963,86.393,4,german,0.003655825
56273,7D5x7oRRK279Tx3SzJ95it,Akanksha Bhandari;Nilotpal Sinha,Betahasha,Betahasha,47,196233,FALSE,0.53,0.432,3,-11.056,1,0.0317,0.774,0.121,0.299,109.817,1,indie-pop,0.101178785
42407,1bkY2lxI6Pn0OiEXc3s4IE,No/Más,Raíz Del Mal,Fuck You,14,102133,TRUE,0.326,0.93,6,-8.951,1,0.0457,0.0038,0.482,0.763,173.924,4,grindcore,0.183916373
5592,5G0NPSOTLepHxUhEMlVjWj,SPYAIR,Rockin' the World,サムライハート(Some Like It Hot!!),57,191493,FALSE,0.603,0.961,3,-2.069,1,0.0636,0.00319,0.0477,0.549,113.02,4,anime,0.287121363
45255,05QEiRtbs57De7NxgUNOHp,Guus Dielissen,As It Was (Acoustic Instrumental),As It Was - Acoustic Instrumental,41,139612,FALSE,0.287,0.245,11,-20.674,0,0.0493,0.915,0.112,0.624,84.056,4,guitar,0.459437054
81518,0LRcXYhaWLqbs1wvSV0o9u,Arko,Baar Baar Dekho (Original Motion Picture Soundtrack),Dariya,67,217992,FALSE,0.581,0.424,8,-6.616,1,0.0269,0.723,0.101,0.352,98.936,4,pop,0.487271681
99761,2E0Lr1ecydv5MjTYYM0WhN,Stephen Sanchez,Easy On My Eyes,Easy On My Eyes,53,238173,FALSE,0.501,0.105,7,-13.042,1,0.041,0.948,0.0875,0.203,122.334,4,singer-songwriter,0.896910426
68940,0QLc4flxwQVhYbNhW6PCMe,Kendo Kaponi,Kendo Edition,Te Ando Buscando,40,193548,TRUE,0.746,0.762,1,-4.518,1,0.092,0.0981,0.282,0.761,91.976,4,latino,0.786704081
49003,01xdiGuSuIf5qZulm1uqkY,D-Block & S-te-Fan;D-Sturb,Feel It!,Feel It!,64,236903,FALSE,0.459,0.941,9,-2.053,0,0.0777,0.0191,0.371,0.399,155.023,4,hardstyle,0.081047622
3445,1zKsMKyoroSE4Pw41NJREK,No Doubt;Bounty Killer,OO's Music Grandi Successi,Hey Baby,0,207040,FALSE,0.705,0.871,11,-3.557,0,0.123,0.0618,0.226,0.749,93.625,4,alternative,0.202673419
82740,2DGoiBUZSbprAcvGw5l1W7,Screeching Weasel,Anthem for a New Tomorrow,Every Night,23,222706,FALSE,0.22,0.872,8,-5.388,1,0.0461,0.00048,0.0541,0.414,177.017,4,power-pop,0.92742157
96818,3S7q9kiSbYmpVKNvKnR00Z,Diogo Nogueira,Meu Instinto,Embolaê,35,208789,FALSE,0.679,0.737,1,-4.903,1,0.214,0.38,0.624,0.682,172.072,4,samba,0.0961752
13526,1BBLD1ud5QeAlugtiHUPUn,Jungle Wonz,Deliverance,The Jungle - Original Mix,8,310000,FALSE,0.781,0.587,11,-12.05,0,0.0904,0.182,0.0345,0.799,125.004,4,chicago-house,0.064851767
106690,1xA6bn2meDk7TgRvtfWfgS,Sven-Ingvars,Sommar och sol,Sommar och sol,38,138426,FALSE,0.726,0.669,9,-10.841,1,0.038,0.614,0.202,0.904,124.768,4,swedish,0.39753848
35845,2errE18qLFSrGxC1xeFzGZ,Mastruz Com Leite,Ao Vivo em Fortaleza-CE,"Meu Vaqueiro, Meu Peão - Ao Vivo",38,204007,FALSE,0.384,0.796,2,-5.256,1,0.0499,0.336,0.15,0.536,105.863,4,forro,0.258412765
34528,7efGdklausjGxyMePwhKFE,Parthiv Gohil;MANASI PAREKH GOHIL,Reflections of Kutchh,EK PATAN SHER NI,36,135416,FALSE,0.691,0.851,6,-6.256,1,0.201,0.508,0.126,0.905,165.074,3,folk,0.737084629
23290,2DFT4mdft2yUPs7rX6coSd,Syn Cole;Kygo,"Armada Deep House Selection, Vol. 3 (The Finest Deep House Tunes)",Miami 82 - Kygo Remix,54,341946,FALSE,0.707,0.6,2,-7.099,0,0.0407,0.175,0.0578,0.603,113.001,4,deep-house,0.569152415
50909,3iU4eLBepU1or53YkrxuCj,De La Tierra,II,Puro,19,238040,FALSE,0.433,0.971,6,-5.425,1,0.235,5.89E-05,0.903,0.157,133.911,4,heavy-metal,0.529548175
98009,5k3U0OGYBccHdKJJu3HrUN,Nathan Lane;Ernie Sabella;Jason Weaver;Joseph Williams,The Lion King,"Hakuna Matata - From ""The Lion King""/Soundtrack",72,213600,FALSE,0.408,0.313,0,-18.09,1,0.137,0.617,0.115,0.725,170.013,4,show-tunes,0.409633114
50627,13diyOudso0hL1CIXWNEAE,Stam1na,Raja,Murtumispiste,22,268000,FALSE,0.444,0.938,9,-6.836,1,0.0565,1.60E-05,0.0578,0.555,145.318,4,heavy-metal,0.055713068
88353,3GFQEHBTtwNF30ROf0SwoD,Don Omar,Perreo en Halloween,Salió El Sol,2,317280,FALSE,0.886,0.708,4,-5.915,0,0.0911,0.107,0.044,0.965,109.976,4,reggae,0.460218122
14394,5j9rPqhsxgh8ZTSWeflHhq,Cri-Cri,Las 100 Clásicas de Cri Cri Vol. 1,El Perrito - Remasterizado,35,145000,FALSE,0.582,0.256,0,-9.549,1,0.0354,0.78,0.135,0.473,108.539,4,children,0.650649953
100157,6mevK2IlIU5rmvkfqxCFWT,Chancho En Piedra,Rindanse Terricolas,Discojapi,42,248773,FALSE,0.754,0.919,2,-3.49,1,0.0558,0.00843,0.121,0.846,121.039,4,ska,0.492250272
93797,6pcKE146x55SPk6g3Cnhq1,Nikolay Kopylov,Две гитары (Старинные Русские Романсы)/ Two Guitars (Ancient Russian Romances),Поручение и молитва (Assignment and Pray),0,276306,FALSE,0.219,0.341,3,-8.249,0,0.0327,0.98,0.107,0.127,179.646,4,romance,0.941851243
37175,6Hos4orKluXCWp7j06fLQn,Clean Bandit;A7S,Pop Hits Now,Everything but You,0,198014,FALSE,0.679,0.764,6,-5.301,1,0.0391,0.031,0.0951,0.471,124.977,4,funk,0.937798556
57408,0I1eFRytp4XRhLCjT6tZm7,Roar,I Can't Handle Change,I Can't Handle Change,80,198213,FALSE,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.111,0.39,185.711,3,indie,0.885075816
59092,5xoM4IhhyAgn0gdQ5BMW4Q,Alphaxone,Dystopian Gate,Lost in the Moment,9,311161,FALSE,0.106,0.256,0,-21.548,1,0.0393,0.865,0.117,0.0341,91.708,4,iranian,0.543037351
48744,6Pl7sPfAVxWogm9FjzF3ej,Hot Water Music,A Flight and a Crash,A Flight and a Crash,31,128120,FALSE,0.461,0.977,9,-4.286,1,0.0986,0.000198,0.33,0.389,102.516,4,hardcore,0.093019012
11415,0w0AsLfLOiKijA7mKGGvse,Tom Rosenthal,Bolu,To You Alone,57,163731,FALSE,0.627,0.314,4,-16.714,0,0.0328,0.928,0.104,0.326,141.967,4,british,0.4576513
111577,4P8qXnroR43S0xk0hmSbNs,Nightmares On Wax,Carboot Soul,Les Nuits,50,380626,FALSE,0.556,0.291,8,-14.709,1,0.0311,0.245,0.247,0.0387,94.635,4,trip-hop,0.615672324
17130,0y4YmA9UGpQnWdIFbWBHu0,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,Faceshopping,47,236937,FALSE,0.636,0.441,1,-7.273,1,0.247,0.0528,0.0684,0.304,114.045,4,club,0.690062616
38983,3Sy3iV9SeAcahy9E6YpohE,The Spits,VOL.V,Tomorrows Children,23,131920,FALSE,0.351,0.974,11,-1.145,0,0.0666,0.00574,0.105,0.375,105.329,4,garage,0.497604636
92055,2Cuqsq8nvm7ZI0Iu2YWZti,Brenda Lee,Best Christmas Songs 2022 | For under the Mistletoe,Rockin' Around The Christmas Tree,1,123453,FALSE,0.631,0.569,5,-5.956,0,0.0438,0.728,0.27,0.874,71.078,4,rockabilly,0.236889322
66615,69t4F5nuUDK8l424dXZQG4,Amy Liz,Kid Hits,Hairy Caterpillar,30,64899,FALSE,0.45,0.168,10,-9.733,1,0.0266,0.73,0.0953,0.205,85.567,3,kids,0.893622038
7529,1ecIvF4THpjBQtV2XOWS3Y,The Infamous Stringdusters,Toward the Fray,I Didn't Know,22,240893,FALSE,0.528,0.74,4,-7.577,0,0.0306,0.435,0.119,0.732,150.668,4,bluegrass,0.504624546
68218,4pJUzyPGGBdV2yKlqYLNTN,Jhayco;Anuel AA,Frescura y Perreo,Ley Seca,0,263666,FALSE,0.759,0.843,8,-3.718,1,0.0913,0.127,0.114,0.56,105.016,4,latino,0.414892832
93147,4AHab2RIGNbVCh8jVNHRna,Zhanna Bichevskaya,"Ljubo, brattsy, ljubo...","Ljubo, brattsy, ljubo...",10,355324,FALSE,0.412,0.414,8,-11.532,1,0.032,0.75,0.149,0.528,120.029,4,romance,0.573871525
19086,6fJbsque97JgCY0Bi3w1mQ,Cody Johnson,Oklahoma Smokeshow - Breakout Country,Human,0,221520,FALSE,0.4,0.647,2,-7.279,1,0.0337,0.176,0.11,0.274,84.08,4,country,0.650213388
85808,6HVJF4FWIL3LZyoUGyaWi6,Old Mervs,Honey,Honey,36,240554,FALSE,0.428,0.819,1,-5.252,1,0.0435,0.00165,0.122,0.586,118.752,4,punk-rock,0.733190452
60564,4rgFJqK4FVxZOGhA1ElmsA,Vybz Kartel,Luxury Doll,Luxury Doll,20,176729,TRUE,0.456,0.866,8,-1.884,1,0.15,0.177,0.139,0.75,118.119,5,j-dance,0.7015928
41487,7KoeicEuGOAwhY1FKtYDcT,Håkan Hellström,Samlade singlar! 2000-2010,Jag hatar att jag älskar dig och jag älskar dig så mycket att jag hatar mig,25,316466,FALSE,0.413,0.495,7,-8.735,1,0.0279,0.533,0.103,0.408,102.261,4,goth,0.07841145
109606,4dSH4QOSnQa6PutN1rDHOG,NTO,Invisible,Invisible,44,340400,FALSE,0.541,0.584,1,-10.911,0,0.0499,0.122,0.104,0.0548,123.027,4,techno,0.79463526
10809,7rpIQ9kIrvwAcRRRB0QW3C,The Prodigy,Experience,Fire - Sunrise Version,41,297933,FALSE,0.745,0.689,5,-11.355,0,0.0524,0.0198,0.0991,0.957,140.019,4,breakbeat,0.758607225
37096,4V0Z0Fdc8K2DNsL2lVfeA4,Stevie Wonder,Christmas Dinner,What Christmas Means To Me - Single Version / Mono,0,148146,FALSE,0.545,0.7,5,-6.961,1,0.0323,0.0982,0.1,0.799,83.506,4,funk,0.435338497
92308,62p6cgUc0cdguS1DttbfKU,Elvis Presley,Today (Legacy Edition),And I Love You So,56,219066,FALSE,0.485,0.332,8,-13.288,1,0.0257,0.129,0.0687,0.39,81.741,4,rockabilly,0.681989618
71145,0PSKFp3zoNmJzDsOHeLV6l,The Smashing Pumpkins,Alternative Christmas 2022,Christmastime,0,196723,FALSE,0.165,0.434,0,-8.163,1,0.0288,0.316,0.213,0.186,77.983,3,metal,0.2629237
25651,5xl0p7WkEry8QAOxTs28kY,Zimmer;Panama,Zimmer,Wildflowers,54,217986,FALSE,0.728,0.544,9,-7.848,0,0.0502,0.347,0.179,0.255,101.029,4,disco,0.54809748
31327,6qiRGYXyp9uFjYilJOpGPj,Charli XCX,Cardio Tracks,Used to Know Me,0,145840,FALSE,0.711,0.931,1,-4.042,1,0.0323,0.0914,0.0892,0.775,118.009,4,electro,0.255912837
46601,4plFHRIYpyvO46CWG2UMvG,2 Brothers On The 4th Floor;Ran-D,Come Take My Hand (Ran-D Remix),Come Take My Hand - Ran-D Remix,54,262550,FALSE,0.535,0.928,5,-2.025,0,0.0823,0.0068,0.109,0.116,154.872,4,happy,0.088812846
10167,5tkGSC7fx7A9AbYKUmt4sg,Deekline;Specimen A,"Welcome To The Jungle: Drum & Bass X Jungle: Mixed By Deekline, Ed Solo & Serial Killaz",All The Way Up,17,265438,FALSE,0.753,0.958,11,-0.705,0,0.198,0.0443,0.34,0.46,174.088,4,breakbeat,0.002147047
36005,5JdLUE9D743ob2RtgmVpVx,Jain,Zanaka,Makeba,60,249533,FALSE,0.824,0.656,2,-9.432,1,0.0704,0.388,0.253,0.418,116.068,4,french,0.669725012
55850,2l4w5ctthghnZXpekYyBn4,Silk Route,Boondein,Boondein,43,290249,FALSE,0.652,0.429,5,-10.849,1,0.0257,0.566,0.0953,0.196,112.008,4,indian,0.397772023
60118,7IszPgWG66iEAnc7rPa0IY,Vybz Kartel,All Out,All Out (Explicit),28,211470,FALSE,0.617,0.696,10,-6.45,0,0.314,0.471,0.118,0.841,66.436,5,j-dance,0.851971361
92443,605F0nqGa8zFsGbC1ePsxS,Toini & The Tomcats,Going Wild,Rollin' with Sonny,28,238746,FALSE,0.41,0.879,0,-3.972,1,0.0424,0.48,0.0523,0.85,174.969,4,rockabilly,0.44792425
109279,5AcCFMfAjIxq07cibmttEo,Einmusik;Lexer;Jyll,Leave You,Leave You,54,234005,FALSE,0.673,0.84,1,-7.564,1,0.0349,0.0197,0.0865,0.529,119.991,4,techno,0.439470471
106765,31mgTMhmp2uckN54LKjwkX,Moonica Mac,PART TWO,Komma,35,112028,FALSE,0.531,0.225,9,-15.632,1,0.0511,0.817,0.325,0.567,99.835,4,swedish,0.14460158
85616,1PyYXTsEAF4kvYqoY68noG,Kamikazee,Kamikazee - Their Greatest Hits,Doo Bi Doo,37,243773,FALSE,0.496,0.958,2,-2.092,1,0.0749,0.00562,0.13,0.716,147.648,4,punk-rock,0.76248374
33426,32Ntr8rYMAfuTEyrNeMtpg,THRILL PILL,2017,2017,48,106002,TRUE,0.807,0.525,5,-8.235,0,0.16,0.166,0.0829,0.575,153.9,4,emo,0.007145632
52879,7vXt87zAM7vIH0hf8djjEn,Stonewall Jackson,Stonewall Jackson Country,If This House Could Talk,10,159440,FALSE,0.607,0.283,0,-12.599,1,0.032,0.686,0.0881,0.581,131.348,4,honky-tonk,0.20309062
76235,1pm19jjuM0shHxBGUn619j,Epica;Roy Khan,Live At Paradiso,Trois Vierges - Live At Paradiso,25,312125,FALSE,0.194,0.325,1,-11.794,1,0.0339,0.755,0.796,0.271,91.343,3,opera,0.355558666
32293,7wTrROmo8E67iuUOoqxE0P,Nxtwave;Su Presencia,Burning Flame,Siéntelo en Tu Corazón,41,203437,FALSE,0.689,0.805,1,-4.639,0,0.0601,0.246,0.0803,0.785,95.989,4,electronic,0.687479445
87120,3G7Y6YBp2OjIe8hez3HCoq,Nenhum De Nós,Histórias Reais Seres Imaginários,Amanhã ou Depois,50,203466,FALSE,0.56,0.783,7,-5.695,1,0.0249,0.136,0.329,0.734,94.008,4,r-n-b,0.941419591
87298,6IzjGEM0s8Q3avi1DHc5Fc,Barão Vermelho,Só as Melhores do Pop Rock Brasileiro,Maior abandonado (Ao Vivo) - Live,0,163693,FALSE,0.668,0.63,4,-6.368,1,0.041,0.256,0.162,0.904,143.041,4,r-n-b,0.921702226
70587,5ISwrjD9HDFTgB77UpRwDj,Vicky Chen,Am I Who I Am,煙幕,54,247714,FALSE,0.521,0.277,0,-7.857,1,0.0296,0.75,0.123,0.291,140.064,4,mandopop,0.404395318
